date,temperature,humidity,rainfall,wind_speed,pressure
2021-01-01,21.3,72,0.0,13.4,956.6
2021-01-02,19.7,72,0.0,13.0,956.4
2021-01-03,20.1,71,0.0,13.4,955.0
2021-01-04,20.0,67,0.0,19.7,954.8
2021-01-05,20.9,74,0.0,12.6,955.4
2021-01-06,21.5,86,1.2,12.8,955.1
2021-01-07,20.7,82,3.4,9.4,953.9
2021-01-08,22.8,77,0.0,14.9,953.0
2021-01-09,22.1,71,0.0,13.7,953.9
2021-01-10,21.7,65,0.0,12.6,954.3
2021-01-11,22.9,57,0.0,10.5,955.3
2021-01-12,22.7,67,0.0,10.8,955.5
2021-01-13,22.7,65,0.0,9.5,955.3
2021-01-14,22.1,65,0.0,9.7,954.9
2021-01-15,21.6,67,0.0,9.4,954.1
2021-01-16,22.0,70,0.0,10.0,953.2
2021-01-17,22.1,68,0.0,13.1,954.4
2021-01-18,21.5,72,0.0,11.8,955.5
2021-01-19,21.3,68,0.0,9.9,955.0
2021-01-20,22.1,62,0.0,9.6,955.1
2021-01-21,22.8,61,0.0,9.8,954.3
2021-01-22,23.6,61,0.0,10.2,954.8
2021-01-23,22.8,64,0.0,9.2,954.8
2021-01-24,22.5,65,0.0,10.2,955.2
2021-01-25,22.8,61,0.0,9.7,955.6
2021-01-26,23.1,60,0.0,9.4,955.2
2021-01-27,22.9,59,0.0,9.9,955.3
2021-01-28,23.2,61,0.0,13.6,956.1
2021-01-29,22.4,64,0.0,10.2,956.3
2021-01-30,22.5,62,0.0,9.4,955.9
2021-01-31,22.7,64,0.0,10.2,956.8
2021-02-01,22.0,66,0.0,10.9,958.5
2021-02-02,20.8,57,0.0,11.2,958.4
2021-02-03,20.9,55,0.0,11.2,957.7
2021-02-04,21.1,52,0.0,11.2,957.2
2021-02-05,20.9,54,0.0,10.8,956.0
2021-02-06,21.3,55,0.0,10.8,955.3
2021-02-07,21.4,52,0.0,11.9,956.7
2021-02-08,20.3,47,0.0,11.3,957.4
2021-02-09,21.4,49,0.0,10.7,956.3
2021-02-10,21.7,50,0.0,10.7,954.8
2021-02-11,22.3,52,0.0,10.1,954.2
2021-02-12,22.0,55,0.0,10.0,955.0
2021-02-13,21.7,56,0.0,10.7,955.9
2021-02-14,22.5,51,0.0,10.5,955.8
2021-02-15,23.6,47,0.0,10.1,954.8
2021-02-16,24.2,42,0.0,14.2,954.2
2021-02-17,23.9,42,0.0,16.1,954.2
2021-02-18,23.1,50,0.0,16.6,956.0
2021-02-19,21.5,61,0.5,16.9,957.9
2021-02-20,22.2,54,0.0,12.6,957.1
2021-02-21,22.3,69,0.0,15.1,957.5
2021-02-22,23.8,59,0.0,7.9,957.3
2021-02-23,23.8,51,0.0,10.4,955.7
2021-02-24,24.2,44,0.0,11.2,954.6
2021-02-25,24.5,46,0.0,11.4,954.3
2021-02-26,25.6,43,0.0,9.4,952.9
2021-02-27,26.0,41,0.0,9.5,952.4
2021-02-28,26.4,42,0.0,10.4,953.0
2021-03-01,25.9,41,0.0,10.8,955.3
2021-03-02,26.6,43,0.0,15.1,955.8
2021-03-03,25.7,44,0.0,13.0,954.9
2021-03-04,26.2,35,0.0,12.6,955.3
2021-03-05,25.9,31,0.0,13.6,955.7
2021-03-06,26.1,32,0.0,11.3,955.6
2021-03-07,26.6,34,0.0,11.8,954.9
2021-03-08,26.9,33,0.0,13.7,955.4
2021-03-09,26.5,38,0.0,14.8,955.9
2021-03-10,26.8,38,0.0,14.0,955.7
2021-03-11,26.8,36,0.0,16.1,955.6
2021-03-12,25.9,39,0.0,15.3,956.7
2021-03-13,24.7,31,0.0,12.7,956.5
2021-03-14,25.8,32,0.0,12.8,955.0
2021-03-15,26.4,34,0.0,11.4,954.1
2021-03-16,28.1,37,0.0,13.2,954.1
2021-03-17,27.8,42,0.0,10.3,953.1
2021-03-18,28.2,41,0.0,13.3,953.5
2021-03-19,28.1,34,0.0,12.5,953.4
2021-03-20,27.2,38,0.0,13.4,952.4
2021-03-21,27.5,40,0.0,8.6,952.3
2021-03-22,28.4,40,0.0,13.4,954.1
2021-03-23,28.4,45,0.0,14.3,955.4
